,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Afghanistan,0.69,0.69,0.43,0.3,0.25,0.16,0.09,0.07,0.05,0.04
Albania,1.66,1.62,1.8,1.58,1.5,1.48,1.32,1.3,1.41,1.38
Algeria,3.51,3.47,3.3,3.31,3.43,3.17,3.2,3,3.22,2.73
Angola,1.38,1.47,1.38,1.37,1.35,1.3,1.31,1.2,1.07,1.09
Antigua and Barbuda,5.83,5.89,5.82,6.01,5.91,5.63,5.56,5.1,4.97,4.98
Argentina,4.46,4.57,4.6,4.56,4.41,4.68,4.38,4.43,4.14,4.07
Armenia,1.84,1.91,1.66,1.42,1.47,1.87,1.69,1.46,1.44,1.2
Australia,16.35,16.52,16.86,16.92,18.2,18.16,17.87,17.65,17.17,17.03
Austria,7.36,7.38,7.78,8.11,7.56,8.29,8.41,8.73,9.02,8.84
Azerbaijan,3.79,3.82,3.65,3.39,3.57,4.05,3.56,4.62,4.09,3.86
Bahamas,8.23,5.15,5.2,6.83,4.63,4.29,4.94,4.96,5.29,5.34
Bahrain,23.68,21.81,22.48,23.1,22.82,26.54,26,20.01,22.15,21.67
Bangladesh,0.44,0.43,0.41,0.4,0.36,0.33,0.3,0.3,0.28,0.27
Barbados,5.13,5.22,5.45,5.29,5.81,5.84,4.94,4.99,4.94,4.74
Belarus,6.74,6.68,6.72,6.6,6.38,6.62,6.33,6.46,6.12,5.98
Belgium,8.37,8.28,8.95,9.89,9.29,9.75,9.74,10.15,10.36,10.66
Belize,1.5,1.43,1.82,1.68,1.38,1.26,1.54,1.49,1.46,1.43
Benin,0.56,0.55,0.54,0.54,0.5,0.49,0.52,0.46,0.29,0.32
Bhutan,1.17,1.1,1,0.68,0.55,0.61,0.58,0.59,0.61,0.49
Bolivia,1.89,1.84,1.6,1.53,1.43,1.38,1.31,1.62,1.34,1.46
Bosnia and Herzegovina,5.73,5.81,6.23,5.55,5.39,5.25,4.6,4.58,4.23,4.08
Botswana,2.49,2.09,2.11,2.34,1.96,2.29,2.19,2.18,2.2,2.12
Brazil,2.47,2.32,2.19,2.11,1.87,1.99,1.88,1.82,1.84,1.82
Brunei Darussalam,18.92,23.8,24.27,20.86,20.31,23.95,22.47,13.21,13.83,14.05
Bulgaria,5.45,6.14,6.71,5.97,5.73,6.77,6.93,6.36,6.19,6.01
Burkina Faso,0.18,0.16,0.14,0.13,0.13,0.13,0.12,0.1,0.08,0.08
Burundi,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
Cote d'Ivoire,0.42,0.4,0.31,0.31,0.29,0.35,0.36,0.38,0.43,0.43
Cabo Verde,0.87,0.99,1.07,0.98,0.68,0.64,0.82,0.78,0.73,0.7
Cambodia,0.37,0.37,0.36,0.35,0.33,0.28,0.25,0.22,0.21,0.19
Cameroon,0.31,0.28,0.27,0.33,0.34,0.28,0.31,0.21,0.2,0.22
Canada,13.53,13.86,14.48,14.49,14.84,16.22,16.45,16.51,17.08,17.26
Central African Republic,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Chad,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04
Chile,4.73,4.66,4.61,4.25,3.97,4.32,4.35,3.98,3.84,3.76
China,7.55,7.42,7.23,6.55,5.72,5.42,5.15,4.89,4.44,4.08
Colombia,1.89,1.7,1.65,1.66,1.6,1.52,1.41,1.44,1.41,1.29
Comoros,0.21,0.2,0.21,0.18,0.17,0.18,0.18,0.18,0.17,0.16
Congo,0.56,0.56,0.53,0.47,0.43,0.34,0.33,0.31,0.28,0.28
Costa Rica,1.62,1.67,1.68,1.67,1.76,1.84,1.86,1.65,1.62,1.66
Croatia,4.16,4.26,4.69,4.63,4.81,5.13,5.4,5.12,5.12,5.07
Cuba,3.46,3.19,3.18,3.39,2.65,2.7,2.37,2.43,2.31,2.22
Cyprus,5.21,6.13,6.65,6.98,7.44,7.96,7.71,7.43,7.27,7.22
Czech Republic,9.38,9.61,10.19,10.65,10.31,11.24,11.97,11.93,11.76,11.45
Democratic Republic of Congo,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02
Denmark,6.78,6.51,7.3,8.41,8.06,8.54,9.2,10.11,8.69,9.36
Djibouti,0.7,0.61,0.56,0.62,0.56,0.62,0.58,0.52,0.53,0.53
Dominica,1.83,1.89,1.8,1.96,1.86,1.86,2.18,1.61,1.66,1.62
Dominican Republic,2.15,2.24,2.2,2.19,2.1,2.22,2.23,2.11,2.02,2.01
Ecuador,2.78,2.62,2.61,2.55,2.45,2.34,2.24,2.07,2.2,2.15
Egypt,2.43,2.53,2.59,2.47,2.57,2.51,2.44,2.34,2.23,2.05
El Salvador,1.04,1.19,1.1,1.05,1.07,1.09,1.17,1.15,1.09,1.07
Equatorial Guinea,6.79,7.54,9.01,6.42,6.53,6.56,7.2,7.37,7.53,8.61
Estonia,15.11,13.32,14.02,13.6,10.91,13.08,13.95,12.01,12.37,12.68
Ethiopia,0.11,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07
Fiji,1.94,1.82,1.83,1.86,1.25,0.6,1.44,1.64,1.66,1.38
Finland,8.51,9.02,10.51,11.54,9.96,10.64,12.1,12.57,10.42,12.83
France,5.05,5.07,5.07,5.42,5.43,5.69,5.76,5.9,6.1,6.12
Gabon,2.88,2.84,2.83,2.94,2.87,2.83,2.86,2.96,3.55,3.48
Gambia,0.26,0.26,0.25,0.28,0.27,0.26,0.26,0.23,0.22,0.23
