,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
"Afghanistan																",653.35,690.84,622.38,569.94,458.96,384.13,380.4,280.25,257.18,224.91
"Albania																",4412.35,4247.84,4437.81,4094.36,4114.14,4370.54,3603.01,3005.01,2709.14,2416.59
"Algeria																",5491.61,5583.62,5447.4,4473.49,3875.82,4912.25,3939.56,3467.54,3102.04,2600.01
"Angola																",5327.15,5086.85,4744.99,3886.48,3678.95,4242.36,3151.02,2253.84,1576.16,1135.6
"Antigua and Barbuda																",13342.09,13525.62,12817.84,13017.31,13979.26,15786.17,15276.07,13599.91,12079.87,10993.37
"Argentina																",13027.2,13040.31,12800.2,10332.03,8198.57,8992.59,7226.27,5904.68,5096.26,4251.57
"Armenia																",3716.83,3565.52,3417.17,3124.78,2915.58,3919.98,3080.97,2126.62,1625.41,1181.97
"Australia																",67652.68,67646.1,62216.55,51845.65,42715.13,49628.12,40957.83,36084.86,33982.95,30440.85
"Austria																",50504.72,48333.57,51123.56,46659.84,47654.19,51386.38,46586.65,40430.99,38242.04,36693.4
"Azerbaijan																",7811.62,7393.77,7189.69,5842.81,4950.29,5574.6,3851.44,2473.09,1578.37,1045.03
"Bahamas																",22554.45,22554.52,21514.9,21920.52,22043.01,23657.37,24306.14,23721.16,23405.88,21995.52
"Bahrain																",24113.52,23057.77,22033.91,20386.02,19166.71,23043.03,21167.62,19669.32,18418.07,16275.18
"Bangladesh																",954.4,858.93,838.55,760.33,683.61,618.08,543.08,495.85,485.85,462.27
"Barbados																",15473.1,15385.12,15534.17,15906.19,16523.38,16570.56,16462.25,15646,14223.66,12868.86
"Belarus																",7722.12,6721.83,6305.77,5818.85,5176.04,6376.17,4735.96,3848.59,3126.37,2378.37
"Belgium																",46508.12,44740.58,47699.84,44382.82,44880.57,48424.58,44403.77,38852.37,36967.26,35589.69
"Belize																",4723.59,4674.29,4522.86,4348.02,4263.81,4473.42,4324.93,4187.32,3933.3,3831.59
"Benin																",887.09,811.22,799.04,732.95,768.01,794.87,685.55,609.02,587.08,570.69
"Bhutan																",2383.04,2452.15,2485.79,2201.29,1786.81,1810.58,1755.16,1346.09,1257.55,1107.92
"Bolivia																",2948.03,2645.29,2377.71,1981.17,1776.86,1736.93,1389.63,1233.59,1046.43,978.33
"Bosnia and Herzegovina																",4748.04,4494.64,4860.78,4475.09,4586.21,4974.66,4108,3351.96,2928.26,2619.75
"Botswana																",6806.66,6885.84,7504.85,6244,5115.12,5561.9,5666.64,5342.14,5327.85,4879.46
"Brazil																",12071.78,12157.31,13039.12,11121.42,8474.88,8706.82,7246.87,5808.34,4730.65,3596.22
"Brunei Darussalam																",43970.53,46973.94,46377.88,34852.02,27726.48,37798.39,32707.7,31157.69,26337.92,22131.95
"Bulgaria																",7674.86,7378.03,7813.8,6843.26,6955.99,7296.12,5932.9,4455.69,3852.98,3353.56
"Burkina Faso																",698.34,673.06,667.17,575.01,537.26,567.73,474.09,422.42,406.67,371.5
"Burundi																",259.37,244.2,240.61,214.23,190.39,182.69,159.27,154.92,140.82,119.46
"Cabo Verde																",3648.94,3497.69,3766.11,3393.93,3517.39,3698.31,3145.65,2316.48,2049.62,1970.89
"Cambodia																",1024.61,946.48,879.15,782.69,735.41,742.94,629.28,537.85,472.45,407.08
"Cameroon																",1331.2,1222.19,1258.92,1147.24,1164.72,1191.71,1070.95,965.37,915.09,892.9
"Canada																",52266.18,52495.29,52083.83,47445.76,40773.45,46596.34,44544.53,40386.7,36189.59,31979.87
"Central African Republic																",322.37,472.82,488.36,446.8,454.37,463.83,404.11,353.89,332.95,318.48
"Chad																",985.1,972.68,988.44,895.88,803.91,929.28,801.4,712.05,660.18,454.66
"Chile																",15764.76,15253.33,14582.17,12785.05,10217.31,10791.02,10513.54,9500.84,7728.61,6323.76
"China																",7077.77,6337.88,5633.8,4560.51,3838.43,3471.25,2695.37,2099.23,1753.42,1508.67
"Colombia																",8030.69,7885.06,7227.77,6250.65,5148.41,5433.71,4674.21,3709.08,3386.03,2740.25
"Comoros																",823.02,778.11,818.86,759.26,768.73,786.18,712.12,640.74,614.86,609.64
"Congo																",3205.46,3191.16,3453.22,2953.19,2428.26,3094.11,2259.27,2144.83,1737.61,1362.2
"Costa Rica																",10547.21,9985.31,9186.57,8199.43,6809.4,6911.14,6120.63,5245.19,4697.01,4425.51
"Croatia																",13574.98,13235.98,14542.18,13509.19,14157.14,15893.86,13546.7,11363.42,10224.24,9365.74
"Cuba																",6789.85,6448.16,6092.61,5688.67,5494.93,5385.74,5193.48,4677.71,3786.88,3398.62
"Cyprus																",27907.97,28951.16,32233.84,30818.46,32105.82,35390.7,31386.63,27169.99,25324.49,23932.49
"Czech Republic																",19916.02,19729.87,21717.48,19763.96,19698.49,22649.38,18333.95,15159.14,13317.73,11667.63
"Democratic Republic of Congo																",413.7,390.71,350.27,311.25,286.05,310.73,273.49,246.8,213.31,189.59
"Denmark																",60361.74,58125.36,61304.06,57647.67,57895.5,64181.99,58501.14,52041,48816.84,46487.51
"Djibouti																",1682.95,1586.78,1472.01,1358.46,1279.25,1234.01,1060.81,974.56,910.36,867.68
"Dominica																",7061.28,6778.34,7016.45,6938.95,6888.86,6464.22,5952.06,5522.29,5250.35,5329.14
"Dominican Republic																",6026.99,5968.83,5759.04,5451.07,4952.69,5011.05,4647.32,3836.47,3681.06,2421.1
"Ecuador																",6074.18,5702.17,5223.38,4657.3,4255.56,4274.94,3590.71,3350.78,3021.94,2708.56
"Egypt																",3264.45,3226.13,2816.67,2668.04,2349.29,2061.61,1681.31,1409.18,1196.73,1071.32
"El Salvador																",3998.74,3921.72,3821.34,3547.07,3431.28,3569.34,3358.42,3108.59,2874.26,2666.34
