,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Afghanistan,47,45.53,44.13,42.83,41.67,40.63,39.64,38.57,37.37,36
Albania,105.72,105.85,106.01,106.31,106.84,107.57,108.39,109.22,109.91,110.47
Algeria,16.03,15.72,15.42,15.13,14.86,14.62,14.39,14.17,13.97,13.78
Angola,18.81,18.2,17.6,17.02,16.46,15.92,15.39,14.87,14.37,13.87
Antigua and Barbuda,204.51,202.43,200.35,198.26,196.14,193.98,191.81,189.7,187.65,185.72
Argentina,15.54,15.38,15.22,15.06,14.91,14.76,14.61,14.45,14.3,14.15
Armenia,105.1,104.61,104.25,104.09,104.18,104.5,104.96,105.45,105.9,106.29
Australia,3.01,2.96,2.91,2.87,2.82,2.77,2.71,2.69,2.65,2.62
Austria,102.74,102.11,101.64,101.29,101.04,100.77,100.46,100.13,99.63,98.96
Azerbaijan,113.92,112.46,110.98,109.54,108.29,106.06,103.85,102.67,101.52,100.48
Bahamas,37.75,37.2,36.63,36.05,35.44,34.82,34.19,33.55,32.89,32.22
Bahrain,1752.5,1731.92,1702.76,1655.27,1574.7,1468.13,1368.76,1271.36,1171.64,1106.83
Bangladesh,1207.32,1192.73,1178.5,1164.76,1151.62,1138.91,1126.16,1112.69,1098.03,1082
Barbados,656.98,654.84,652.56,650.15,647.6,644.92,642.22,639.63,637.24,635.1
Belarus,46.65,46.64,46.69,46.77,46.87,46.96,47.12,47.34,47.65,47.98
Belgium,369.31,367.51,364.85,359.83,356.56,353.7,350.91,348.35,346.06,344.16
Belize,15.09,14.76,14.43,14.1,13.76,13.42,13.08,12.75,12.42,12.1
Benin,91.54,89.13,86.73,84.34,81.95,79.58,77.22,74.88,72.56,70.26
Bhutan,19.8,19.51,19.21,18.9,18.57,18.23,17.88,17.5,17.08,16.64
Bolivia,9.6,9.45,9.3,9.16,9.01,8.86,8.72,8.57,8.42,8.28
Bosnia and Herzegovina,74.68,74.77,74.85,74.91,74.96,75,75.01,74.97,74.87,74.72
Botswana,3.84,3.76,3.69,3.61,3.54,3.47,3.41,3.34,3.29,3.24
Brazil,24.44,24.22,23.99,23.76,23.53,23.3,23.07,22.82,22.55,22.27
Brunei Darussalam,78.08,76.95,75.8,74.63,73.45,72.26,71.05,69.86,68.67,67.5
Bulgaria,66.92,67.3,67.69,68.12,68.57,68.99,69.47,69.97,70.5,70.95
Burkina Faso,62.44,60.64,58.87,57.13,55.43,53.76,52.13,50.56,49.06,47.62
Burundi,407.55,394.26,381.24,368.42,355.83,343.53,331.56,320.02,308.96,298.35
Cote d'Ivoire,68,66.36,64.79,63.31,61.9,60.57,59.32,58.13,57.02,55.98
Cabo Verde,125.87,124.29,122.87,121.68,120.76,120.06,119.42,118.68,117.67,116.37
Cambodia,85.42,84.03,82.67,81.37,80.13,78.94,77.77,76.62,75.46,74.28
Cameroon,46.99,45.82,44.68,43.56,42.47,41.4,40.36,39.34,38.35,37.38
Canada,3.87,3.82,3.78,3.74,3.7,3.66,3.62,3.58,3.55,3.52
Central African Republic,7.56,7.42,7.27,7.14,7,6.87,6.75,6.62,6.51,6.4
